IBGE,IBGE7,UF,Município,Região,População 2020,Capital,Diário Oficial público?,Disponível desde (data),Link para o DO,Formato,Navegação
110001,1100015,RO,Alta Floresta D´oeste,Região Norte,22728,,,,,,
110002,1100023,RO,Ariquemes,Região Norte,109523,,,,,,
110003,1100031,RO,Cabixi,Região Norte,5188,,,,,,
110004,1100049,RO,Cacoal,Região Norte,85893,,,,,,
110005,1100056,RO,Cerejeiras,Região Norte,16204,,,,,,
110006,1100064,RO,Colorado do Oeste,Região Norte,15544,,,,,,
110007,1100072,RO,Corumbiara,Região Norte,7220,,,,,,
110008,1100080,RO,Costa Marques,Região Norte,18798,,,,,,
110009,1100098,RO,Espigão D´oeste,Região Norte,32695,,,,,,
110010,1100106,RO,Guajará-mirim,Região Norte,46556,,,,,,
110011,1100114,RO,Jaru,Região Norte,51620,,,,,,
110012,1100122,RO,Ji-paraná,Região Norte,130009,,,,,,
110013,1100130,RO,Machadinho D´oeste,Região Norte,40867,,,,,,
110014,1100148,RO,Nova Brasilândia D´oeste,Região Norte,20489,,,,,,
110015,1100155,RO,Ouro Preto do Oeste,Região Norte,35737,,,,,,
110018,1100189,RO,Pimenta Bueno,Região Norte,36881,,,,,,
110020,1100205,RO,Porto Velho,Região Norte,539354,Capital,,,,,
110025,1100254,RO,Presidente Médici,Região Norte,18571,,,,,,
110026,1100262,RO,Rio Crespo,Região Norte,3804,,,,,,
110028,1100288,RO,Rolim de Moura,Região Norte,55407,,,,,,
110029,1100296,RO,Santa Luzia D´oeste,Região Norte,6216,,,,,,
110030,1100304,RO,Vilhena,Região Norte,102211,,,,,,
110032,1100320,RO,São Miguel do Guaporé,Região Norte,23077,,,,,,
110033,1100338,RO,Nova Mamoré,Região Norte,31392,,,,,,
110034,1100346,RO,Alvorada D´oeste,Região Norte,14106,,,,,,
110037,1100379,RO,Alto Alegre Dos Parecis,Região Norte,13255,,,,,,
110040,1100403,RO,Alto Paraíso,Região Norte,21847,,,,,,
110045,1100452,RO,Buritis,Região Norte,40356,,,,,,
110050,1100502,RO,Novo Horizonte do Oeste,Região Norte,8329,,,,,,
110060,1100601,RO,Cacaulândia,Região Norte,6269,,,,,,
110070,1100700,RO,Campo Novo de Rondônia,Região Norte,14266,,,,,,
110080,1100809,RO,Candeias do Jamari,Região Norte,27388,,,,,,
110090,1100908,RO,Castanheiras,Região Norte,2987,,,,,,
110092,1100924,RO,Chupinguaia,Região Norte,11472,,,,,,
110094,1100940,RO,Cujubim,Região Norte,26183,,,,,,
110100,1101005,RO,Governador Jorge Teixeira,Região Norte,7445,,,,,,
110110,1101104,RO,Itapuã do Oeste,Região Norte,10641,,,,,,
110120,1101203,RO,Ministro Andreazza,Região Norte,9559,,,,,,
110130,1101302,RO,Mirante da Serra,Região Norte,10818,,,,,,
110140,1101401,RO,Monte Negro,Região Norte,16007,,,,,,
110143,1101435,RO,Nova União,Região Norte,6895,,,,,,
110145,1101450,RO,Parecis,Região Norte,6198,,,,,,
110146,1101468,RO,Pimenteiras do Oeste,Região Norte,2148,,,,,,
110147,1101476,RO,Primavera de Rondônia,Região Norte,2776,,,,,,
110148,1101484,RO,São Felipe D´oeste,Região Norte,5066,,,,,,
110149,1101492,RO,São Francisco do Guaporé,Região Norte,20681,,,,,,
110150,1101500,RO,Seringueiras,Região Norte,11851,,,,,,
110155,1101559,RO,Teixeirópolis,Região Norte,4233,,,,,,
110160,1101609,RO,Theobroma,Região Norte,10395,,,,,,
110170,1101708,RO,Urupá,Região Norte,11272,,,,,,
110175,1101757,RO,Vale do Anari,Região Norte,11377,,,,,,
110180,1101807,RO,Vale do Paraíso,Região Norte,6656,,,,,,
120001,1200013,AC,Acrelândia,Região Norte,15490,,,,,,
120005,1200054,AC,Assis Brasil,Região Norte,7534,,,,,,
120010,1200104,AC,Brasiléia,Região Norte,26702,,,,,,
120013,1200138,AC,Bujari,Região Norte,10420,,,,,,
120017,1200179,AC,Capixaba,Região Norte,12008,,,,,,
120020,1200203,AC,Cruzeiro do Sul,Região Norte,89072,,,,,,
120025,1200252,AC,Epitaciolândia,Região Norte,18696,,,,,,
120030,1200302,AC,Feijó,Região Norte,34884,,,,,,
120032,1200328,AC,Jordão,Região Norte,8473,,,,,,
120033,1200336,AC,Mâncio Lima,Região Norte,19311,,,,,,
120034,1200344,AC,Manoel Urbano,Região Norte,9581,,,,,,
120035,1200351,AC,Marechal Thaumaturgo,Região Norte,19299,,,,,,
120038,1200385,AC,Plácido de Castro,Região Norte,19955,,,,,,
120039,1200393,AC,Porto Walter,Região Norte,12241,,,,,,
120040,1200401,AC,Rio Branco,Região Norte,413418,Capital,,,,,
120042,1200427,AC,Rodrigues Alves,Região Norte,19351,,,,,,
120043,1200435,AC,Santa Rosa do Purus,Região Norte,6717,,,,,,
120045,1200450,AC,Senador Guiomard,Região Norte,23236,,,,,,
120050,1200500,AC,Sena Madureira,Região Norte,46511,,,,,,
120060,1200609,AC,Tarauacá,Região Norte,43151,,,,,,
120070,1200708,AC,Xapuri,Região Norte,19596,,,,,,
120080,1200807,AC,Porto Acre,Região Norte,18824,,,,,,
130002,1300029,AM,Alvarães,Região Norte,16220,,,,,,
130006,1300060,AM,Amaturá,Região Norte,11736,,,,,,
130008,1300086,AM,Anamã,Região Norte,13956,,,,,,
130010,1300102,AM,Anori,Região Norte,21477,,,,,,
130014,1300144,AM,Apuí,Região Norte,22359,,,,,,
130020,1300201,AM,Atalaia do Norte,Região Norte,20398,,,,,,
130030,1300300,AM,Autazes,Região Norte,40290,,,,,,
130040,1300409,AM,Barcelos,Região Norte,27638,,,,,,
130050,1300508,AM,Barreirinha,Região Norte,32483,,,,,,
130060,1300607,AM,Benjamin Constant,Região Norte,43935,,,,,,
130063,1300631,AM,Beruri,Região Norte,20093,,,,,,
130068,1300680,AM,Boa Vista do Ramos,Região Norte,19626,,,,,,
130070,1300706,AM,Boca do Acre,Região Norte,34635,,,,,,
130080,1300805,AM,Borba,Região Norte,41748,,,,,,
130083,1300839,AM,Caapiranga,Região Norte,13283,,,,,,
130090,1300904,AM,Canutama,Região Norte,15807,,,,,,
130100,1301001,AM,Carauari,Região Norte,28508,,,,,,
130110,1301100,AM,Careiro,Região Norte,38348,,,,,,
130115,1301159,AM,Careiro da Várzea,Região Norte,30846,,,,,,
130120,1301209,AM,Coari,Região Norte,85910,,,,,,
130130,1301308,AM,Codajás,Região Norte,29168,,,,,,
130140,1301407,AM,Eirunepé,Região Norte,35700,,,,,,
130150,1301506,AM,Envira,Região Norte,20393,,,,,,
130160,1301605,AM,Fonte Boa,Região Norte,17005,,,,,,
130165,1301654,AM,Guajará,Região Norte,16937,,,,,,
130170,1301704,AM,Humaitá,Região Norte,56144,,,,,,
130180,1301803,AM,Ipixuna,Região Norte,30436,,,,,,
130185,1301852,AM,Iranduba,Região Norte,49011,,,,,,
130190,1301902,AM,Itacoatiara,Região Norte,102701,,,,,,
130195,1301951,AM,Itamarati,Região Norte,7814,,,,,,
130200,1302009,AM,Itapiranga,Região Norte,9230,,,,,,
130210,1302108,AM,Japurá,Região Norte,2251,,,,,,
130220,1302207,AM,Juruá,Região Norte,15106,,,,,,
130230,1302306,AM,Jutaí,Região Norte,13886,,,,,,
130240,1302405,AM,Lábrea,Região Norte,46882,,,,,,
130250,1302504,AM,Manacapuru,Região Norte,98502,,,,,,
130255,1302553,AM,Manaquiri,Região Norte,33049,,,,,,
130260,1302603,AM,Manaus,Região Norte,2219580,Capital,,,,,
130270,1302702,AM,Manicoré,Região Norte,56583,,,,,,
130280,1302801,AM,Maraã,Região Norte,18261,,,,,,
130290,1302900,AM,Maués,Região Norte,65040,,,,,,
130300,1303007,AM,Nhamundá,Região Norte,21443,,,,,,
130310,1303106,AM,Nova Olinda do Norte,Região Norte,38026,,,,,,
130320,1303205,AM,Novo Airão,Região Norte,19928,,,,,,
130330,1303304,AM,Novo Aripuanã,Região Norte,26046,,,,,,
130340,1303403,AM,Parintins,Região Norte,115363,,,,,,
130350,1303502,AM,Pauini,Região Norte,19522,,,,,,
130353,1303536,AM,Presidente Figueiredo,Região Norte,37193,,,,,,
130356,1303569,AM,Rio Preto da Eva,Região Norte,34106,,,,,,
130360,1303601,AM,Santa Isabel do Rio Negro,Região Norte,25865,,,,,,
130370,1303700,AM,Santo Antônio do Içá,Região Norte,21243,,,,,,
130380,1303809,AM,São Gabriel da Cachoeira,Região Norte,46303,,,,,,
130390,1303908,AM,São Paulo de Olivença,Região Norte,40073,,,,,,
130395,1303957,AM,São Sebastião do Uatumã,Região Norte,14352,,,,,,
130400,1304005,AM,Silves,Região Norte,9230,,,,,,
130406,1304062,AM,Tabatinga,Região Norte,67182,,,,,,
130410,1304104,AM,Tapauá,Região Norte,17015,,,,,,
130420,1304203,AM,Tefé,Região Norte,59547,,,,,,
130423,1304237,AM,Tonantins,Região Norte,18897,,,,,,
130426,1304260,AM,Uarini,Região Norte,13690,,,,,,
130430,1304302,AM,Urucará,Região Norte,16130,,,,,,
130440,1304401,AM,Urucurituba,Região Norte,23585,,,,,,
140002,1400027,RR,Amajari,Região Norte,13185,,,,,,
140005,1400050,RR,Alto Alegre,Região Norte,15380,,,,,,
140010,1400100,RR,Boa Vista,Região Norte,419652,Capital,,,,,
140015,1400159,RR,Bonfim,Região Norte,12557,,,,,,
140017,1400175,RR,Cantá,Região Norte,18799,,,,,,
140020,1400209,RR,Caracaraí,Região Norte,22283,,,,,,
140023,1400233,RR,Caroebe,Região Norte,10383,,,,,,
140028,1400282,RR,Iracema,Região Norte,12296,,,,,,
140030,1400308,RR,Mucajaí,Região Norte,18172,,,,,,
140040,1400407,RR,Normandia,Região Norte,11532,,,,,,
140045,1400456,RR,Pacaraima,Região Norte,18913,,,,,,
140047,1400472,RR,Rorainópolis,Região Norte,30782,,,,,,
140050,1400506,RR,São João da Baliza,Região Norte,8348,,,,,,
140060,1400605,RR,São Luiz,Região Norte,8110,,,,,,
140070,1400704,RR,Uiramutã,Região Norte,10789,,,,,,
150010,1500107,PA,Abaetetuba,Região Norte,159080,,,,,,
150013,1500131,PA,Abel Figueiredo,Região Norte,7486,,,,,,
150020,1500206,PA,Acará,Região Norte,55669,,,,,,
150030,1500305,PA,Afuá,Região Norte,39567,,,,,,
150034,1500347,PA,Água Azul do Norte,Região Norte,27615,,,,,,
150040,1500404,PA,Alenquer,Região Norte,57092,,,,,,
150050,1500503,PA,Almeirim,Região Norte,34076,,,,,,
150060,1500602,PA,Altamira,Região Norte,115969,,,,,,
150070,1500701,PA,Anajás,Região Norte,29688,,,,,,
150080,1500800,PA,Ananindeua,Região Norte,535547,,,,,,
150085,1500859,PA,Anapu,Região Norte,28607,,,,,,
150090,1500909,PA,Augusto Corrêa,Região Norte,46471,,,,,,
150095,1500958,PA,Aurora do Pará,Região Norte,31773,,,,,,
150100,1501006,PA,Aveiro,Região Norte,16404,,,,,,
150110,1501105,PA,Bagre,Região Norte,31325,,,,,,
150120,1501204,PA,Baião,Região Norte,48459,,,,,,
150125,1501253,PA,Bannach,Região Norte,3262,,,,,,
150130,1501303,PA,Barcarena,Região Norte,127027,,,,,,
150140,1501402,PA,Belém,Região Norte,1499641,Capital,,,,,
150145,1501451,PA,Belterra,Região Norte,17839,,,,,,
150150,1501501,PA,Benevides,Região Norte,63768,,,,,,
150157,1501576,PA,Bom Jesus do Tocantins,Região Norte,17118,,,,,,
150160,1501600,PA,Bonito,Região Norte,16530,,,,,,
150170,1501709,PA,Bragança,Região Norte,128914,,,,,,
150172,1501725,PA,Brasil Novo,Região Norte,14983,,,,,,
150175,1501758,PA,Brejo Grande do Araguaia,Região Norte,7368,,,,,,
150178,1501782,PA,Breu Branco,Região Norte,67332,,,,,,
150180,1501808,PA,Breves,Região Norte,103497,,,,,,
150190,1501907,PA,Bujaru,Região Norte,29427,,,,,,
150195,1501956,PA,Cachoeira do Piriá,Região Norte,34609,,,,,,
150200,1502004,PA,Cachoeira do Arari,Região Norte,24064,,,,,,
150210,1502103,PA,Cametá,Região Norte,139364,,,,,,
150215,1502152,PA,Canaã Dos Carajás,Região Norte,38103,,,,,,
150220,1502202,PA,Capanema,Região Norte,69431,,,,,,
150230,1502301,PA,Capitão Poço,Região Norte,54425,,,,,,
150240,1502400,PA,Castanhal,Região Norte,203251,,,,,,
150250,1502509,PA,Chaves,Região Norte,23948,,,,,,
150260,1502608,PA,Colares,Região Norte,12131,,,,,,
150270,1502707,PA,Conceição do Araguaia,Região Norte,47991,,,,,,
150275,1502756,PA,Concórdia do Pará,Região Norte,33781,,,,,,
150276,1502764,PA,Cumaru do Norte,Região Norte,13761,,,,,,
150277,1502772,PA,Curionópolis,Região Norte,17846,,,,,,
150280,1502806,PA,Curralinho,Região Norte,34994,,,,,,
150285,1502855,PA,Curuá,Região Norte,14587,,,,,,
150290,1502905,PA,Curuçá,Região Norte,40584,,,,,,
150293,1502939,PA,Dom Eliseu,Região Norte,60469,,,,,,
150295,1502954,PA,Eldorado Dos Carajás,Região Norte,33940,,,,,,
150300,1503002,PA,Faro,Região Norte,7070,,,,,,
150304,1503044,PA,Floresta do Araguaia,Região Norte,20525,,,,,,
150307,1503077,PA,Garrafão do Norte,Região Norte,26111,,,,,,
150309,1503093,PA,Goianésia do Pará,Região Norte,41081,,,,,,
150310,1503101,PA,Gurupá,Região Norte,33755,,,,,,
150320,1503200,PA,Igarapé-açu,Região Norte,39023,,,,,,
150330,1503309,PA,Igarapé-miri,Região Norte,63036,,,,,,
150340,1503408,PA,Inhangapi,Região Norte,11861,,,,,,
150345,1503457,PA,Ipixuna do Pará,Região Norte,65625,,,,,,
150350,1503507,PA,Irituia,Região Norte,32595,,,,,,
150360,1503606,PA,Itaituba,Região Norte,101395,,,,,,
150370,1503705,PA,Itupiranga,Região Norte,53355,,,,,,
150375,1503754,PA,Jacareacanga,Região Norte,7590,,,,,,
150380,1503804,PA,Jacundá,Região Norte,59842,,,,,,
150390,1503903,PA,Juruti,Região Norte,58960,,,,,,
150400,1504000,PA,Limoeiro do Ajuru,Região Norte,29282,,,,,,
150405,1504059,PA,Mãe do Rio,Região Norte,30235,,,,,,
150410,1504109,PA,Magalhães Barata,Região Norte,8573,,,,,,
150420,1504208,PA,Marabá,Região Norte,283542,,,,,,
150430,1504307,PA,Maracanã,Região Norte,29516,,,,,,
150440,1504406,PA,Marapanim,Região Norte,28450,,,,,,
150442,1504422,PA,Marituba,Região Norte,133685,,,,,,
150445,1504455,PA,Medicilândia,Região Norte,31975,,,,,,
150450,1504505,PA,Melgaço,Região Norte,27890,,,,,,
150460,1504604,PA,Mocajuba,Região Norte,31530,,,,,,
150470,1504703,PA,Moju,Região Norte,83182,,,,,,
150475,1504752,PA,Mojuí dos Campos,Região Norte,16184,,,,,,
150480,1504802,PA,Monte Alegre,Região Norte,58162,,,,,,
150490,1504901,PA,Muaná,Região Norte,40906,,,,,,
150495,1504950,PA,Nova Esperança do Piriá,Região Norte,21444,,,,,,
150497,1504976,PA,Nova Ipixuna,Região Norte,16854,,,,,,
150500,1505007,PA,Nova Timboteua,Região Norte,15506,,,,,,
150503,1505031,PA,Novo Progresso,Região Norte,25766,,,,,,
150506,1505064,PA,Novo Repartimento,Região Norte,77214,,,,,,
150510,1505106,PA,Óbidos,Região Norte,52306,,,,,,
150520,1505205,PA,Oeiras do Pará,Região Norte,32850,,,,,,
150530,1505304,PA,Oriximiná,Região Norte,74016,,,,,,
150540,1505403,PA,Ourém,Região Norte,17961,,,,,,
150543,1505437,PA,Ourilândia do Norte,Região Norte,33335,,,,,,
150548,1505486,PA,Pacajá,Região Norte,48414,,,,,,
150549,1505494,PA,Palestina do Pará,Região Norte,7582,,,,,,
150550,1505502,PA,Paragominas,Região Norte,114503,,,,,,
150553,1505536,PA,Parauapebas,Região Norte,213576,,,,,,
150555,1505551,PA,Pau D´arco,Região Norte,5410,,,,,,
150560,1505601,PA,Peixe-boi,Região Norte,8081,,,,,,
150563,1505635,PA,Piçarra,Região Norte,12979,,,,,,
150565,1505650,PA,Placas,Região Norte,31659,,,,,,
150570,1505700,PA,Ponta de Pedras,Região Norte,31549,,,,,,
150580,1505809,PA,Portel,Região Norte,62945,,,,,,
150590,1505908,PA,Porto de Moz,Região Norte,41801,,,,,,
150600,1506005,PA,Prainha,Região Norte,29846,,,,,,
150610,1506104,PA,Primavera,Região Norte,10857,,,,,,
150611,1506112,PA,Quatipuru,Região Norte,13702,,,,,,
150613,1506138,PA,Redenção,Região Norte,85563,,,,,,
150616,1506161,PA,Rio Maria,Região Norte,18201,,,,,,
150618,1506187,PA,Rondon do Pará,Região Norte,52803,,,,,,
150619,1506195,PA,Rurópolis,Região Norte,51500,,,,,,
150620,1506203,PA,Salinópolis,Região Norte,40922,,,,,,
150630,1506302,PA,Salvaterra,Região Norte,24075,,,,,,
150635,1506351,PA,Santa Bárbara do Pará,Região Norte,21449,,,,,,
150640,1506401,PA,Santa Cruz do Arari,Região Norte,10314,,,,,,
150650,1506500,PA,Santa Isabel do Pará,Região Norte,71837,,,,,,
150655,1506559,PA,Santa Luzia do Pará,Região Norte,19843,,,,,,
150658,1506583,PA,Santa Maria Das Barreiras,Região Norte,21850,,,,,,
150660,1506609,PA,Santa Maria do Pará,Região Norte,24995,,,,,,
150670,1506708,PA,Santana do Araguaia,Região Norte,74419,,,,,,
150680,1506807,PA,Santarém,Região Norte,306480,,,,,,
150690,1506906,PA,Santarém Novo,Região Norte,6753,,,,,,
150700,1507003,PA,Santo Antônio do Tauá,Região Norte,31918,,,,,,
150710,1507102,PA,São Caetano de Odivelas,Região Norte,18129,,,,,,
150715,1507151,PA,São Domingos do Araguaia,Região Norte,25753,,,,,,
150720,1507201,PA,São Domingos do Capim,Região Norte,32139,,,,,,
150730,1507300,PA,São Félix do Xingu,Região Norte,132138,,,,,,
150740,1507409,PA,São Francisco do Pará,Região Norte,15930,,,,,,
150745,1507458,PA,São Geraldo do Araguaia,Região Norte,24705,,,,,,
150746,1507466,PA,São João da Ponta,Região Norte,6217,,,,,,
150747,1507474,PA,São João de Pirabas,Região Norte,23244,,,,,,
150750,1507508,PA,São João do Araguaia,Região Norte,14051,,,,,,
150760,1507607,PA,São Miguel do Guamá,Região Norte,59632,,,,,,
150770,1507706,PA,São Sebastião da Boa Vista,Região Norte,26974,,,,,,
150775,1507755,PA,Sapucaia,Região Norte,6009,,,,,,
150780,1507805,PA,Senador José Porfírio,Região Norte,11480,,,,,,
150790,1507904,PA,Soure,Região Norte,25565,,,,,,
150795,1507953,PA,Tailândia,Região Norte,108969,,,,,,
150796,1507961,PA,Terra Alta,Região Norte,11847,,,,,,
150797,1507979,PA,Terra Santa,Região Norte,18917,,,,,,
150800,1508001,PA,Tomé-açu,Região Norte,64030,,,,,,
150803,1508035,PA,Tracuateua,Região Norte,31257,,,,,,
150805,1508050,PA,Trairão,Região Norte,19168,,,,,,
150808,1508084,PA,Tucumã,Região Norte,40136,,,,,,
150810,1508100,PA,Tucuruí,Região Norte,115144,,,,,,
150812,1508126,PA,Ulianópolis,Região Norte,60761,,,,,,
150815,1508159,PA,Uruará,Região Norte,45435,,,,,,
150820,1508209,PA,Vigia,Região Norte,54172,,,,,,
150830,1508308,PA,Viseu,Região Norte,61751,,,,,,
150835,1508357,PA,Vitória do Xingu,Região Norte,15279,,,,,,
150840,1508407,PA,Xinguara,Região Norte,45086,,,,,,
160005,1600055,AP,Serra do Navio,Região Norte,5488,,,,,,
160010,1600105,AP,Amapá,Região Norte,9187,,,,,,
160015,1600154,AP,Pedra Branca do Amapari,Região Norte,17067,,,,,,
