municipio,IBGE,IBGE7,UF,regiao,populacao_2020,eh_capital,fonte_1,fonte_2,fonte_3,fonte_4,is_online,data_inicial,tipo_arquivo,validacao,navegacao,observacoes
Abaetetuba (PA),150010,1500107,PA,Região Norte,159080,False,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=25873&busca_avancada%5Bnome_orgao%5D=&busca_avancada%5Btitulo%5D=&busca_avancada%5Bt,None,None,None,1,2016-06-30,HTML,True,None,
Abreu e Lima (PE),260005,2600054,PE,Região Nordeste,100346,False,http://www.diariomunicipal.com.br/amupe/,None,None,None,1,2013-06-19,PDF texto,True,None,"O Diário Oficial do município de Abreu e Lima - PE integra o portal dos Diário Oficiais dos Municípios de Pernambuco. Para encontrar determinado ato que não esteja na última edição que reúne as outras cidades, o cidadão precisa ir até a aba ""arquivo de publicações""  e buscar o ato até encontrá-lo por meio de datas ou palavras-chave."
Alagoinhas (BA),290070,2900702,BA,Região Nordeste,152327,False,https://doem.org.br/ba/alagoinhas,None,None,None,1,2015-01-28,PDF texto,True,None,None
Almirante Tamandaré (PR),410040,4100400,PR,Região Sul,120041,False,http://www.diariomunicipal.com.br/amp/pesquisar?busca_avancada%5BentidadeUsuaria%5D=10741,None,None,None,1,2014-01-08,HTML,True,None,
Altamira (PA),150060,1500602,PA,Região Norte,115969,False,http://altamira.pa.gov.br/site/download-category/diario-oficial/,None,None,None,1,2013-05-11,PDF imagem,True,None,
Alvorada (RS),430060,4300604,RS,Região Sul,211352,False,http://www.diariomunicipal.com.br/famurs/pesquisar,None,None,None,1,2016-06-14,HTML,True,None,
Americana (SP),350160,3501608,SP,Região Sudeste,242018,False,https://diariooficial.americana.sp.gov.br/diario-oficial-index.php,None,None,None,1,2018-09-13,PDF texto,True,None,None
Ananindeua (PA),150080,1500800,PA,Região Norte,535547,False,http://www.ananindeua.pa.gov.br/diario/,None,None,None,1,2008-01-10,PDF texto,True,None,
Angra Dos Reis (RJ),330010,3300100,RJ,Região Sudeste,207044,False,http://angra.rj.gov.br/boletim-oficial.asp?indexsigla=imp,None,None,None,1,2005-03-11,PDF texto,True,None,None
Anápolis (GO),520110,5201108,GO,Região Centro-Oeste,391772,False,http://www.diario.anapolis.go.gov.br:8124/dowebans/page/diarioOficial.jsf,None,None,None,1,2010-05-31,PDF texto,True,None,
Aparecida de Goiânia (GO),520140,5201405,GO,Região Centro-Oeste,590146,False,https://doe.aparecida.go.gov.br,None,None,None,1,2015-11-02,PDF texto,True,None,
Apucarana (PR),410140,4101408,PR,Região Sul,136234,False,http://sys.apucarana.pr.gov.br/apucarana-pr/FWLocal/diario_oficial/,None,None,None,1,2008-09-24,DOCX,True,None,"Caso em que o portal está na borda do que consideraríamos um diário oficial, no conceito adotado no Censo. Todos os atos estão agrupados em um mesmo local, com uma coluna de data e possibilidade de aplicar filtros. Mas não há uma separação ""por edição""."
Aracaju (SE),280030,2800308,SE,Região Nordeste,664908,True,http://sga.aracaju.se.gov.br:5011/legislacao/faces/diario_form_pesq.jsp,None,None,None,1,1991-01-07,PDF imagem,True,None,
Aracruz (ES),320060,3200607,ES,Região Sudeste,103101,False,None,https://diariomunicipal.es.gov.br/?r=site/index&q=+entidade%3A%22Prefeitura+de+Aracruz%22,None,None,1,2014-09-04,HTML,True,None,
Araguari (MG),310350,3103504,MG,Região Sudeste,117825,False,https://www.araguari.mg.gov.br/correio,None,None,None,1,2019-04-05,PDF texto,True,None,
Araguaína (TO),170210,1702109,TO,Região Norte,183381,False,https://diariooficial.araguaina.to.gov.br/,None,None,None,1,2011-12-06,PDF texto,True,None,None
Arapiraca (AL),270030,2700300,AL,Região Nordeste,233047,False,http://www.diariomunicipal.com.br/ama/pesquisar,None,None,None,1,2016-02-15,PDF texto,True,None,"Tal qual outros municípios alagoanos, o DO de Arapiraca está disponível no portal mantido pela Associação dos Municípios Alagoanos. Sendo assim, infelizmente, não é possível saber o primeiro dia que o DO online de Arapiraca esteve disponivel no portal, uma vez que a busca seria feita de maneira manual."
Arapongas (PR),410150,4101507,PR,Região Sul,124810,False,https://www.arapongas.pr.gov.br/diario,None,None,None,1,2009-02-11,PDF texto,True,None,
Araraquara (SP),350320,3503208,SP,Região Sudeste,238339,False,http://www.araraquara.sp.gov.br/governo/atos-oficiais,http://www.araraquara.sp.gov.br/governo/atos-oficiais/atos-em-pdf/,None,None,1,2019-01-31,PDF texto,True,None,
Araras (SP),350330,3503307,SP,Região Sudeste,135506,False,None,https://publicacoesmunicipais.com.br/eatos/araras,None,None,1,2014-08-07,PDF texto,True,None,
Araruama (RJ),330020,3300209,RJ,Região Sudeste,134293,False,http://www.ioerj.com.br/portal/modules/conteudoonline/busca_do.php?acao=busca,None,None,None,1,2006-06-26,PDF texto,True,None,
Araucária (PR),410180,4101804,PR,Região Sul,146214,False,https://araucaria.atende.net/?pg=diariooficial,None,None,None,1,2018-12-19,HTML,True,None,
Araxá (MG),310400,3104007,MG,Região Sudeste,107337,False,http://araxa.mg.gov.br/doma,None,None,None,1,2014-03-27,PDF texto,True,None,
Araçatuba (SP),350280,3502804,SP,Região Sudeste,198129,False,https://imprensaoficialmunicipal.com.br/aracatuba,None,None,None,1,2020-04-22,PDF texto,True,None,
Ariquemes (RO),110002,1100023,RO,Região Norte,109523,False,None,http://www.diariomunicipal.com.br/arom/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=1211,None,None,1,2010-09-29,HTML,True,None,
Assis (SP),350400,3504008,SP,Região Sudeste,105087,False,https://www.gdoe.com.br/assis/,https://www.assis.sp.gov.br/diario/,None,None,1,2012-01-04,PDF imagem,True,None,"As versões antigas (fonte secundária) são PDF texto, mas a nova versão (a partir de 2017) se tornou predominantemente PDF imagem."
Atibaia (SP),350410,3504107,SP,Região Sudeste,144088,False,http://prefeituradeatibaia.com.br/imprensa/,None,None,None,1,2002-07-20,PDF texto,True,None,
Açailândia (MA),210005,2100055,MA,Região Nordeste,113121,False,http://www.acailandia.ma.gov.br/diariooficial,None,None,None,1,2015-11-30,PDF texto,True,None,
Bacabal (MA),210120,2101202,MA,Região Nordeste,104790,False,https://dom.bacabalma.com.br/index.php,None,None,None,1,2017-02-08,PDF texto,True,None,
Bagé (RS),430160,4301602,RS,Região Sul,121335,False,https://www.diariooficial.rs.gov.br,None,None,None,1,2017-11-14,PDF texto,True,None,"Publica no Diário Oficial do Estado do Rio Grande do Sul.

A ouvidoria do munícipio também informou que mantem os atos oficiais na seção ""mural"" do site da prefeitura: https://www.bage.rs.gov.br/index.php/mural"
Balneário Camboriú (SC),420200,4202008,SC,Região Sul,145796,False,https://www.diariomunicipal.sc.gov.br/site/?q=cod_entidade%3A31,None,None,None,1,2020-03-02,PDF texto,True,None,
Barbacena (MG),310560,3105608,MG,Região Sudeste,138204,False,http://barbacena.mg.gov.br/edob.php,None,None,None,1,2013-01-28,PDF texto,True,None,
Barcarena (PA),150130,1501303,PA,Região Norte,127027,False,http://www.diariomunicipal.com.br/famep/pesquisar,None,None,None,1,2014-01-31,PDF texto,True,0.0,"Página HTML com campos de busca, reúne vários munícipios no campo municipio/entidades"
Barra Mansa (RJ),330040,3300407,RJ,Região Sudeste,184833,False,https://portaltransparencia.barramansa.rj.gov.br/boletim-oficial/,None,None,None,1,2018-01-03,PDF texto,True,None,
Barra do Piraí (RJ),330030,3300308,RJ,Região Sudeste,100764,False,https://www.barradopirai.rj.gov.br/portal/index.php?option=com_content&view=article&id=97&Itemid=158,None,None,None,1,2009-01-07,PDF imagem,True,None,"(Taís) O diário possui registros totalmente ilegíveis, como o do dia 07/01/2009 (http://transparencia.portalbarradopirai.com.br/images/boletim/2009/222%20-%20Data%20%2007-01.pdf). Porém, a qualidade melhorou nos registros mais recentes."
Barreiras (BA),290320,2903201,BA,Região Nordeste,156975,False,https://barreiras.ba.gov.br/diario-oficial/,None,None,None,1,2008-01-02,PDF imagem,True,None,None
Barretos (SP),350550,3505500,SP,Região Sudeste,122833,False,https://www.barretos.sp.gov.br/jornal,None,None,None,1,2008-12-17,PDF texto,True,None,
Barueri (SP),350570,3505708,SP,Região Sudeste,276982,False,https://portal.barueri.sp.gov.br/diario,None,None,None,1,2010-01-06,PDF imagem,True,None,None
Bauru (SP),350600,3506003,SP,Região Sudeste,379297,False,https://www2.bauru.sp.gov.br/juridico/diariooficial.aspx,None,None,None,1,2002-12-04,PDF texto,True,None,None
Belford Roxo (RJ),330045,3300456,RJ,Região Sudeste,513118,False,https://www.noticiasdebelfordroxo.com/p/atos-oficiais-da-prefeitura-de-broxo.html,https://prefeituradebelfordroxo.rj.gov.br/atos-oficiais/,None,None,1,2012-06-02,PDF texto,True,None,Site oficial fora do ar na ocasião da validação. Adicionado endereço do portal de notícias local que publica os atos oficiais.
Belo Horizonte (MG),310620,3106200,MG,Região Sudeste,2521564,True,http://portal6.pbh.gov.br/dom/iniciaEdicao.do?method=DomDia,None,None,None,1,1996-01-04,PDF texto,True,None,
Belém (PA),150140,1501402,PA,Região Norte,1499641,True,http://sistemas.belem.pa.gov.br/diario/painel,None,None,None,1,2005-02-01,PDF texto,True,None,
Bento Gonçalves (RS),430210,4302105,RS,Região Sul,121803,False,http://www.bentogoncalves.rs.gov.br/diario-oficial/,None,None,None,1,2014-09-19,PDF texto,True,None,
Betim (MG),310670,3106705,MG,Região Sudeste,444784,False,http://www.betim.mg.gov.br/orgaooficial/,None,None,None,1,2008-01-11,PDF texto,True,None,
Birigui (SP),350650,3506508,SP,Região Sudeste,124883,False,https://imprensaoficialmunicipal.com.br/birigui/,None,None,None,1,2016-12-28,PDF texto,True,None,None
Blumenau (SC),420240,4202404,SC,Região Sul,361855,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=+entidade%3A%22Prefeitura+municipal+de+Blumenau%22,None,None,None,1,2014-09-19,HTML,True,None,
Boa Vista (RR),140010,1400100,RR,Região Norte,419652,True,https://www.boavista.rr.gov.br/diario-oficial,None,None,None,1,2011-01-03,PDF texto,True,None,
Botucatu (SP),350750,3507506,SP,Região Sudeste,148130,False,https://imprensaoficialmunicipal.com.br/botucatu,None,None,None,1,2018-02-23,PDF texto,True,None,None
Bragança (PA),150170,1501709,PA,Região Norte,128914,False,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada%5BentidadeUsuaria%5D=99893,http://www.ioepa.com.br/pesquisa/?q=%22Prefeitura%20Municipal%20de%20Bragan%C3%A7a%22&di=00010101&df=20991201,None,None,1,2018-04-18,HTML,True,None,"Os atos publicados no Diário Oficial dos Municípios do Pará, da Federação dos Municípios do Pará (FAMEP), são disponibilizados em HTML e cobrem o período desde 18/04/2018 até hoje. (FONTE 1)

Os atos publicados no Diário Oficial do Estado do Pará, da Imprensa Oficial do Estado do Pará, são disponibilizados em PDF e cobrem o período de 20/02/2008 até 01/10/2020. (FONTE 2)"
Bragança Paulista (SP),350760,3507605,SP,Região Sudeste,170533,False,https://imprensaoficialmunicipal.com.br/braganca_paulista,None,None,None,1,2019-01-04,PDF texto,True,None,
Brasília (DF),530010,5300108,DF,Região Centro-Oeste,3055149,True,http://www.buriti.df.gov.br/ftp/,http://www.dodf.df.gov.br/,None,None,1,2001-10-01,PDF texto,True,None,None
Breves (PA),150180,1501808,PA,Região Norte,103497,False,http://www.ioepa.com.br/pesquisa/?q=%22PREFEITURA%20MUNICIPAL%20DE%20BREVES%22&di=00010101&df=20991231,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada[entidadeUsuaria]=3618,None,None,1,2008-01-02,PDF texto,True,None,"Publicado como seção no Diário Oficial do Pará.

Entre 01/03/2012 e 27/06/2018, publicou também no Diário Oficial dos Municípios do Estado do Pará, mantido pela Federação de Asssociações de Municípios do Estado do Pará."
Brusque (SC),420290,4202909,SC,Região Sul,137689,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_entidade%3A52,None,None,None,1,2014-01-17,PDF texto,True,None,
Cabo Frio (RJ),330070,3300704,RJ,Região Sudeste,230378,False,http://rj.portaldatransparencia.com.br/prefeitura/cabofrio/?pagina=dop&frompage=1&StartRow=31,None,None,None,1,2020-07-29,PDF texto,True,None,A ementa dos atos oficiais é publicada em HTML na página com as edições do Diário Oficial.
